particle,E_beam_GeV,sigma_x_mm,sigma_y_mm,bias_x_mm,bias_y_mm,n_events
neutron,10.000,22.0467,20.8022,2.2102,1.4199,987
neutron,20.000,18.3646,17.8511,1.4712,0.4365,988
neutron,50.000,13.4580,12.8971,0.5310,0.7073,990
neutron,150.000,9.8065,10.4275,0.4757,1.2112,986
neutron,200.000,9.4563,10.3057,0.1640,0.3204,989
neutron,300.000,8.6735,8.8852,0.7782,0.5216,989
